startup_name,tagline,detail_url,category,list_page,name_clean,name_clean_v2
Naio Technologies,Agricultural robots,https://www.frenchcleantech.com/company/categories/agriculture/profile/naio-technolgies-agricultural-robots.html,Agriculture (12),1,NAIO TECHNOLOGIES,NAIO TECHNOLOGIES
Ynsect,Insect biorefineries,https://www.frenchcleantech.com/company/categories/agriculture/profile/ynsect-insect-biorefineries.html,Agriculture (12),1,YNSECT,YNSECT
ITK,Technology serving agriculture,https://www.frenchcleantech.com/company/categories/agriculture/profile/itk-technology-serving-agriculture.html,Agriculture (12),1,ITK,ITK
Ecolacteo,Heat recovery systems for cooling units,https://www.frenchcleantech.com/company/categories/agriculture/profile/ecolacteo-heat-recovery-systems-for-cooling-units.html,Agriculture (12),1,ECOLACTEO,ECOLACTEO
Goëmar,Sustainable technologies for agriculture,https://www.frenchcleantech.com/company/categories/agriculture/profile/goemar-sustainable-technologies-for-agriculture.html,Agriculture (12),1,GOEMAR,GOEMAR
Novabiom,Miscanthus for renewable energy crops,https://www.frenchcleantech.com/company/categories/agriculture/profile/novabiom-miscanthus-for-renewable-energy-crops-and-profitable.html,Agriculture (12),2,NOVABIOM,NOVABIOM
Footways,Pesticide risk assessment & management,https://www.frenchcleantech.com/company/categories/agriculture/profile/footways-pesticide-risk-assessment-management.html,Agriculture (12),2,FOOTWAYS,FOOTWAYS
S3d convert,S3d convert animal fat into biofuel,https://www.frenchcleantech.com/company/categories/agriculture/profile/s3d-convert-animal-fat-into-electricity.html,Agriculture (12),2,S3D CONVERT,S3D CONVERT
Vegeplast,Green conception and manufacturing of bioplastics parts,https://www.frenchcleantech.com/company/categories/agriculture/profile/vegeplast-vegetable-based-bioplastic.html,Agriculture (12),2,VEGEPLAST,VEGEPLAST
Algieplus,Adding value to seaweed deposits,https://www.frenchcleantech.com/company/categories/agriculture/profile/algieplus-from-the-sea-to-the-hearth.html,Agriculture (12),2,ALGIEPLUS,ALGIEPLUS
Force-A,Diagnostic tool for agriculture,https://www.frenchcleantech.com/company/categories/agriculture/profile/force-a-diagnostic-tool-for-agriculture.html,Agriculture (12),3,FORCE A,FORCE A
Global Bioenergies,Isobutene bioproduction,https://www.frenchcleantech.com/company/categories/agriculture/profile/global-bioenergies-isobutene-bioproduction.html,Agriculture (12),3,GLOBAL BIOENERGIES,GLOBAL BIOENERGIES
Air Serenity,Indoor air purifier,https://www.frenchcleantech.com/company/categories/air-environment/profile/air-serenity-indoor-air-purifier.html,Air & Environment (29),1,AIR SERENITY,AIR SERENITY
Aria Technologies,European Leader in Atmospheric Environment,https://www.frenchcleantech.com/company/categories/air-environment/profile/aria-technologies-.html,Air & Environment (29),1,ARIA TECHNOLOGIES,ARIA TECHNOLOGIES
CTI,Ceramic membranes for liquid filtration,https://www.frenchcleantech.com/company/categories/air-environment/profile/cti-ceramic-membranes.html,Air & Environment (29),1,CTI,CTI
Hikob,Wireless sensor networks to power smart cities,https://www.frenchcleantech.com/company/categories/air-environment/profile/hikob-wireless-sensor-networks-for-a-smarter-road-network.html,Air & Environment (29),1,HIKOB,HIKOB
RayCreatis,3D energy simulation business solutions,https://www.frenchcleantech.com/company/categories/air-environment/profile/raycreatis-3d-energy-simulation-business-solutions.html,Air & Environment (29),1,RAYCREATIS,RAYCREATIS
Metnext,Weather risk management,https://www.frenchcleantech.com/company/categories/air-environment/profile/metnext-weather-risk-management.html,Air & Environment (29),2,METNEXT,METNEXT
Apilab,Biomonitoring through bees,https://www.frenchcleantech.com/company/categories/air-environment/profile/apilab-biomonitoring-through-bees.html,Air & Environment (29),2,APILAB,APILAB
Apix Technology,Multi-gas emissions analyzers,https://www.frenchcleantech.com/company/categories/air-environment/profile/apix-technology-multi-gas-emissions-analyzers.html,Air & Environment (29),2,APIX TECHNOLOGY,APIX TECHNOLOGY
NOVAD,"Treatment and decontamination of soils, water and air",https://www.frenchcleantech.com/company/categories/air-environment/profile/novad-treatment-and-decontamination-of-soils-water-and-air.html,Air & Environment (29),2,NOVAD,NOVAD
COOLEA,Fresh the air and save Energy,https://www.frenchcleantech.com/company/categories/air-environment/profile/coolea-fresh-the-air-and-save-energy.html,Air & Environment (29),2,COOLEA,COOLEA
CLEANEA,When water becomes detergents,https://www.frenchcleantech.com/company/categories/air-environment/profile/cleanea-when-water-becomes-detergents.html,Air & Environment (29),3,CLEANEA,CLEANEA
imaGeau,Real time management of subsurface resources,https://www.frenchcleantech.com/company/categories/air-environment/profile/imageau-real-time-management-of-subsurface-resources.html,Air & Environment (29),3,IMAGEAU,IMAGEAU
Quiet Oceans,Technology for sustainable oceans,https://www.frenchcleantech.com/company/categories/air-environment/profile/quiet-oceans-technology-for-sustainable-oceans.html,Air & Environment (29),3,QUIET OCEANS,QUIET OCEANS
Ethera,Indoor pollution diagnosis,https://www.frenchcleantech.com/company/categories/air-environment/profile/ethera-breathe-safely.html,Air & Environment (29),3,ETHERA,ETHERA
Footways,Pesticide risk assessment & management,https://www.frenchcleantech.com/company/categories/air-environment/profile/footways-pesticide-risk-assessment-management.html,Air & Environment (29),3,FOOTWAYS,FOOTWAYS
Environnement S.A,Instrumentation for environnement,https://www.frenchcleantech.com/company/categories/air-environment/profile/environnement-sa-instrumentation-for-environnement.html,Air & Environment (29),4,ENVIRONNEMENT S A,ENVIRONNEMENT SA
Sillages environnement,Environmental risks simulation,https://www.frenchcleantech.com/company/categories/air-environment/profile/sillages-environnement-environmental-risks-simulation.html,Air & Environment (29),4,SILLAGES ENVIRONNEMENT,SILLAGES ENVIRONNEMENT
Ivea,LIBS analysers for pollution control,https://www.frenchcleantech.com/company/categories/air-environment/profile/ivea-libs-for-pollution-control.html,Air & Environment (29),4,IVEA,IVEA
Eole Water,From Wind to water,https://www.frenchcleantech.com/company/categories/air-environment/profile/eole-water-from-wind-to-water.html,Air & Environment (29),4,EOLE WATER,EOLE WATER
Cairpol,City air pollution monitoring,https://www.frenchcleantech.com/company/categories/air-environment/profile/cairpol-city-air-pollution-monitoring.html,Air & Environment (29),4,CAIRPOL,CAIRPOL
Hydrelis,Water leak detection technology,https://www.frenchcleantech.com/company/categories/air-environment/profile/hydrelis-water-leak-detection-technology.html,Air & Environment (29),5,HYDRELIS,HYDRELIS
Brochier technologies,Photocatalytic pollution control solution,https://www.frenchcleantech.com/company/categories/air-environment/profile/brochier-technologies-photocatalytic-pollution-control-solution.html,Air & Environment (29),5,BROCHIER TECHNOLOGIES,BROCHIER TECHNOLOGIES
SP3H,A purer air,https://www.frenchcleantech.com/company/categories/air-environment/profile/sp3h-smart-on-board-fuel-sensor.html,Air & Environment (29),5,SP3H,SP3H
