startup_name,tagline,detail_url,siren,category,match_status,match_found,survival,etat_administratif,date_creation,date_cessation,patents_total,has_patent,person_block
Naio Technologies,Agricultural robots,https://www.frenchcleantech.com/company/categories/agriculture/profile/naio-technolgies-agricultural-robots.html,538138033,Agriculture (12),OK,1,1,ACTIVE,2013-04-17,,9,1,personneMorale
Ynsect,Insect biorefineries,https://www.frenchcleantech.com/company/categories/agriculture/profile/ynsect-insect-biorefineries.html,534948617,Agriculture (12),OK,1,1,ACTIVE,2014-06-18,,31,1,personneMorale
ITK,Technology serving agriculture,https://www.frenchcleantech.com/company/categories/agriculture/profile/itk-technology-serving-agriculture.html,449222751,Agriculture (12),OK,1,1,ACTIVE,2003-07-15,,2,1,personneMorale
Ecolacteo,Heat recovery systems for cooling units,https://www.frenchcleantech.com/company/categories/agriculture/profile/ecolacteo-heat-recovery-systems-for-cooling-units.html,509517751,Agriculture (12),OK,1,1,ACTIVE,2008-12-19,,1,1,personneMorale
Goëmar,Sustainable technologies for agriculture,https://www.frenchcleantech.com/company/categories/agriculture/profile/goemar-sustainable-technologies-for-agriculture.html,919210583,Agriculture (12),OK,1,1,ACTIVE,2022-01-01,,0,0,personnePhysique
Novabiom,Miscanthus for renewable energy crops,https://www.frenchcleantech.com/company/categories/agriculture/profile/novabiom-miscanthus-for-renewable-energy-crops-and-profitable.html,494442916,Agriculture (12),OK,1,1,ACTIVE,2007-02-20,,0,0,personneMorale
Footways,Pesticide risk assessment & management,https://www.frenchcleantech.com/company/categories/agriculture/profile/footways-pesticide-risk-assessment-management.html,512837220,Agriculture (12),OK,1,0,CESSATION,2009-06-05,2019-10-30,0,0,personneMorale
S3d convert,S3d convert animal fat into biofuel,https://www.frenchcleantech.com/company/categories/agriculture/profile/s3d-convert-animal-fat-into-electricity.html,,Agriculture (12),NOT_FOUND,0,,,,,,,
Vegeplast,Green conception and manufacturing of bioplastics parts,https://www.frenchcleantech.com/company/categories/agriculture/profile/vegeplast-vegetable-based-bioplastic.html,444615611,Agriculture (12),OK,1,1,ACTIVE,2008-10-10,,4,1,personneMorale
Algieplus,Adding value to seaweed deposits,https://www.frenchcleantech.com/company/categories/agriculture/profile/algieplus-from-the-sea-to-the-hearth.html,497685834,Agriculture (12),OK,1,1,ACTIVE,2008-09-29,,3,1,personneMorale
